id,indra_time,browser_latency,reading_time,attention_esense,meditation_esense,signal_quality,createdAt,updatedAt,label,raw_len,raw_mean,raw_std,raw_min,raw_max,raw_median,raw_q05,raw_q95,raw_abs_mean,raw_clip_ratio,bp_delta,bp_theta,bp_low_alpha,bp_high_alpha,bp_low_beta,bp_high_beta,bp_low_gamma,bp_mid_gamma,split
7,2015-05-09 23:32:36.922,11,2015-05-09 16:32:37.095,66,53,0,2015-05-09 23:32:37.159,2015-05-09 23:32:37.159+00,blink,512.0,28.431640625,121.53739785348314,-317.0,294.0,39.0,-211.45,213.0,97.837890625,0.0,56887.0,45471.0,20074.0,5359.0,22594.0,7867.0,9437.0,3238.0,train
5,2015-05-09 23:32:37.149,1022,2015-05-09 16:32:36.157,100,37,0,2015-05-09 23:32:35.193,2015-05-09 23:32:35.193+00,blink,512.0,41.765625,44.20053456531239,-70.0,243.0,41.5,-28.0,116.0,48.71484375,0.0,11626.0,60301.0,5805.0,15729.0,4448.0,33539.0,8864.0,8610.0,test
1,2015-05-09 23:32:37.195,13405,2015-05-09 16:32:23.946,60,78,0,2015-05-09 23:32:10.598,2015-05-09 23:32:10.598+00,blink,512.0,46.046875,45.29674025506002,-42.0,250.0,38.5,-9.45,133.45,48.38671875,0.0,15777.0,33461.0,21385.0,44193.0,11741.0,15867.0,4420.0,1050.0,val
13,2015-05-09 23:32:37.309,-281,2015-05-09 16:32:37.862,34,69,0,2015-05-09 23:32:38.769,2015-05-09 23:32:38.769+00,blink,512.0,35.515625,129.07996155333086,-401.0,789.0,34.5,-163.45,211.5999999999999,92.34375,0.0,311822.0,44739.0,19000.0,19100.0,2650.0,17622.0,10762.0,6983.0,train
4,2015-05-09 23:32:37.321,7893,2015-05-09 19:32:29.654,26,67,0,2015-05-09 23:32:22.023,2015-05-09 23:32:22.023+00,blink,512.0,64.998046875,210.5776792078408,-597.0,745.0,87.0,-426.45,346.34999999999974,156.779296875,0.0,687393.0,10289.0,2942.0,9874.0,1059.0,2978.0,2065.0,589.0,test
14,2015-05-09 23:32:37.472,735,2015-05-09 16:32:36.744,70,50,0,2015-05-09 23:32:36.091,2015-05-09 23:32:36.091+00,blink,512.0,3.216796875,129.91040283495386,-411.0,282.0,24.0,-279.15,186.9,95.935546875,0.0,24981.0,16011.0,14499.0,14093.0,13691.0,25391.0,17199.0,12582.0,train
6,2015-05-09 23:32:37.600,"-1,561",2015-05-09 16:32:39.291,57,30,0,2015-05-09 23:32:40.909,2015-05-09 23:32:40.909+00,blink,512.0,39.1640625,74.17799826933923,-161.0,283.0,36.0,-76.05,169.45,64.51171875,0.0,797109.0,181902.0,14391.0,25800.0,46876.0,19359.0,21472.0,15652.0,train
8,2015-05-09 23:32:37.728,-39,2015-05-09 16:32:37.788,63,60,0,2015-05-09 23:32:37.890,2015-05-09 23:32:37.89+00,blink,512.0,33.798828125,219.00084848979856,-598.0,818.0,41.0,-451.85,440.29999999999984,134.865234375,0.0,25030.0,127268.0,7532.0,10676.0,35708.0,9927.0,12407.0,5147.0,train
7,2015-05-09 23:32:37.830,14,2015-05-09 16:32:38.079,48,51,0,2015-05-09 23:32:38.128,2015-05-09 23:32:38.128+00,blink,512.0,59.3671875,131.6087282851705,-305.0,472.0,65.0,-199.0,319.1499999999999,109.265625,0.0,1520707.0,115349.0,6386.0,24429.0,10172.0,4615.0,3791.0,5231.0,train
12,2015-05-09 23:32:37.841,1818,2015-05-09 16:32:36.073,53,64,0,2015-05-09 23:32:34.626,2015-05-09 23:32:34.626+00,blink,512.0,23.046875,30.70445289749314,-66.0,150.0,22.0,-22.0,68.0,29.9296875,0.0,45008.0,22051.0,25761.0,10736.0,6656.0,8096.0,6567.0,9213.0,test
9,2015-05-09 23:32:37.886,10529,2015-05-09 16:32:27.358,38,75,0,2015-05-09 23:32:16.919,2015-05-09 23:32:16.919+00,blink,512.0,32.904296875,71.86530247822564,-213.0,308.0,26.0,-77.0,157.0,60.767578125,0.0,1855685.0,81850.0,167425.0,163569.0,41528.0,81598.0,31442.0,54400.0,train
10,2015-05-09 23:32:37.903,33,2015-05-09 16:32:37.882,69,48,0,2015-05-09 23:32:37.968,2015-05-09 23:32:37.968+00,blink,512.0,209.185546875,611.0091220374555,-1393.0,1784.0,133.5,-881.15,1194.0499999999995,490.353515625,0.0,184011.0,29760.0,9032.0,5394.0,16981.0,19322.0,830.0,1610.0,train
2,2015-05-09 23:32:37.907,514,2015-05-09 16:32:37.474,53,60,0,2015-05-09 23:32:37.508,2015-05-09 23:32:37.508+00,blink,512.0,33.34765625,101.83427212329764,-419.0,178.0,57.0,-215.6,117.45,79.88671875,0.0,377975.0,51273.0,2409.0,27413.0,10676.0,11553.0,7933.0,5594.0,val
15,2015-05-09 23:32:37.965,9271,2015-05-09 16:32:28.729,47,51,0,2015-05-09 23:32:19.522,2015-05-09 23:32:19.522+00,blink,512.0,37.72265625,191.8645081475319,-630.0,456.0,59.5,-453.15,246.24999999999997,135.9453125,0.0,111707.0,50805.0,49165.0,7860.0,10546.0,12378.0,7648.0,4748.0,train
3,2015-05-09 23:32:37.996,14855,2015-05-09 16:32:23.294,30,40,0,2015-05-09 23:32:08.551,2015-05-09 23:32:08.551+00,blink,512.0,27.08203125,81.38146281324774,-250.0,225.0,52.0,-180.35,108.45,69.6015625,0.0,39017.0,38228.0,6455.0,3118.0,964.0,2064.0,1040.0,396.0,test
11,2015-05-09 23:32:38.038,-150,2015-05-09 16:32:38.220,40,43,0,2015-05-09 23:32:38.445,2015-05-09 23:32:38.445+00,blink,512.0,37.904296875,43.78833834809064,-166.0,183.0,38.5,-29.0,105.0,47.400390625,0.0,1956448.0,492168.0,15468.0,63323.0,21932.0,8372.0,15722.0,8168.0,val
5,2015-05-09 23:32:38.058,1022,2015-05-09 16:32:37.125,100,40,0,2015-05-09 23:32:36.165,2015-05-09 23:32:36.165+00,blink,512.0,52.625,55.6563815972616,-115.0,205.0,52.0,-41.0,155.34999999999997,62.609375,0.0,20063.0,33526.0,20128.0,4648.0,22838.0,27565.0,16898.0,5277.0,test
1,2015-05-09 23:32:38.105,13405,2015-05-09 16:32:24.914,66,57,0,2015-05-09 23:32:11.564,2015-05-09 23:32:11.564+00,blink,512.0,65.810546875,80.20275360384099,-203.0,370.0,48.0,-0.4499999999999993,281.9,72.923828125,0.0,147965.0,28312.0,4126.0,1782.0,1291.0,4725.0,1163.0,387.0,val
4,2015-05-09 23:32:38.329,7693,2015-05-09 19:32:30.633,37,78,0,2015-05-09 23:32:23.002,2015-05-09 23:32:23.002+00,blink,512.0,62.263671875,188.2824683793405,-445.0,626.0,58.5,-296.9,468.9,138.994140625,0.0,57564.0,8151.0,3885.0,6156.0,1412.0,3159.0,985.0,504.0,test
14,2015-05-09 23:32:38.364,721,2015-05-09 16:32:37.729,53,44,0,2015-05-09 23:32:37.143,2015-05-09 23:32:37.143+00,blink,512.0,124.60546875,102.32807899761812,-106.0,410.0,118.5,-41.45,308.0,133.84765625,0.0,192602.0,96081.0,12413.0,12911.0,8439.0,11569.0,4047.0,2786.0,train
2,2015-05-09 23:32:38.441,138,2015-05-09 16:32:38.480,35,51,0,2015-05-09 23:32:38.517,2015-05-09 23:32:38.517+00,blink,512.0,61.337890625,98.85465720845193,-222.0,378.0,40.5,-74.45,264.9,82.896484375,0.0,1680392.0,523387.0,72514.0,60663.0,46289.0,22709.0,9197.0,8961.0,val
12,2015-05-09 23:32:38.445,1517,2015-05-09 16:32:37.075,60,70,0,2015-05-09 23:32:35.646,2015-05-09 23:32:35.646+00,blink,512.0,16.7890625,58.79936786752978,-178.0,204.0,26.0,-109.05,83.89999999999998,46.3203125,0.0,4592.0,10952.0,1767.0,28276.0,4704.0,12872.0,8047.0,5075.0,test
